date,NO2,O3
2023-10-18,10.8427027027027,39.81260000000001
2023-10-19,17.97026666666666,31.779024390243908
2023-10-20,17.233055555555563,18.7156
2023-10-21,15.023599999999991,22.04
2023-10-22,8.723378378378372,48.33439999999999
2023-10-23,20.63426666666668,15.586000000000002
2023-10-24,15.1156,24.62808510638297
2023-10-25,22.88567567567568,27.117599999999992
2023-10-26,21.53175675675676,13.3216
2023-10-27,23.07226666666666,16.15416666666666
2023-10-28,24.89121621621622,24.59040816326531
2023-10-29,9.724428571428573,51.525200000000005
2023-10-30,11.20205479452055,52.820600000000006
2023-10-31,17.494666666666667,44.458541666666655
2023-11-01,21.588095238095235,29.20631578947369
2023-11-02,9.745714285714286,48.39760869565216
2023-11-03,7.163243243243242,61.421599999999984
