date,NO2
2011-01-01,34.451874999999994
2011-01-02,38.873125
2011-01-03,70.76520833333333
2011-01-04,53.74541666666667
2011-01-05,40.051249999999996
2011-01-06,43.46208333333334
2011-01-07,59.08270833333333
2011-01-08,26.074375000000003
2011-01-09,33.00875
2011-01-10,56.627291666666665
2011-01-11,38.184374999999996
2011-01-12,50.61145833333333
2011-01-13,44.32375
2011-01-14,29.78875
2011-01-15,25.95125
2011-01-16,23.105833333333333
2011-01-17,44.54416666666667
2011-01-18,49.4375
2011-01-19,53.78861742424243
2011-01-20,31.115624999999994
2011-01-21,58.65013257575758
2011-01-22,20.295814393939395
2011-01-23,13.421837121212121
2011-01-24,27.90212121212121
2011-01-25,42.54215909090909
2011-01-26,56.670530303030304
2011-01-27,25.585700757575758
2011-01-28,41.74903409090909
2011-01-29,33.90041666666667
2011-01-30,19.587045454545454
2011-01-31,29.55568181818182
2011-02-01,62.14005681818182
2011-02-02,51.8179356060606
2011-02-03,53.23772727272727
2011-02-04,21.66200757575757
2011-02-05,9.469450757575757
2011-02-06,10.040208333333332
2011-02-07,27.758787878787878
2011-02-08,64.78285984848485
2011-02-09,76.96479166666666
2011-02-10,57.098124999999996
2011-02-11,55.961041666666674
2011-02-12,36.786449275362315
2011-02-13,29.067500000000003
2011-02-14,55.965
2011-02-15,50.58562499999999
2011-02-16,52.588750000000005
2011-02-17,39.80729166666666
2011-02-18,35.73770833333333
2011-02-19,30.476875
2011-02-20,13.625625
2011-02-21,36.105000000000004
2011-02-22,51.08145833333333
2011-02-23,56.78041666666667
2011-02-24,54.12979166666666
2011-02-25,55.20113224637681
2011-02-26,28.883958333333332
2011-02-27,14.447916666666668
2011-02-28,29.180625
2011-03-01,26.610416666666666
2011-03-02,30.104791666666664
2011-03-03,31.6775
2011-03-04,38.46854166666667
2011-03-05,35.251213768115946
2011-03-06,20.944999999999997
2011-03-07,50.87885869565217
2011-03-08,58.88999999999999
2011-03-09,42.55291666666667
2011-03-10,29.930000000000003
2011-03-11,50.388958333333335
2011-03-12,49.8475
2011-03-13,24.353958333333335
2011-03-14,43.88708333333334
2011-03-15,26.820416666666667
2011-03-16,22.91166666666667
2011-03-17,26.421992753623186
2011-03-18,38.99604166666667
2011-03-19,27.191666666666663
2011-03-20,56.35458333333334
2011-03-21,75.32083333333333
2011-03-22,63.33125
2011-03-23,37.06791666666667
2011-03-24,42.66333333333333
2011-03-25,32.32333333333334
2011-03-26,25.437291666666667
2011-03-27,17.469166666666666
2011-03-28,30.160208333333333
2011-03-29,65.64395833333333
2011-03-30,65.89833333333334
2011-03-31,29.784927536231883
2011-04-01,31.161995614035085
2011-04-02,28.527083333333337
2011-04-03,32.320625
2011-04-04,35.27770833333334
2011-04-05,35.619628623188405
2011-04-06,40.10458333333334
2011-04-07,48.50372282608696
2011-04-08,43.3575
2011-04-09,20.328333333333333
2011-04-10,17.728333333333335
2011-04-11,53.841875
2011-04-12,19.60729166666667
2011-04-13,41.18958333333333
2011-04-14,71.30755952380952
2011-04-15,54.408125
2011-04-16,50.193749999999994
2011-04-17,20.689375
2011-04-18,44.090625
2011-04-19,54.95520833333333
2011-04-20,61.33708333333333
2011-04-21,73.24708333333334
2011-04-22,59.610625
2011-04-23,30.468125
2011-04-24,23.819166666666668
2011-04-25,17.678958333333334
2011-04-26,23.515208333333334
2011-04-27,12.948125000000001
2011-04-28,26.741875
2011-04-29,26.347708333333337
2011-04-30,11.666250000000002
2011-05-01,8.953750000000001
2011-05-02,16.468541666666667
2011-05-03,17.393333333333334
2011-05-04,28.960416666666664
2011-05-05,49.67270833333333
2011-05-06,60.29291666666667
2011-05-07,41.77187500000001
2011-05-08,27.740625
2011-05-09,44.076875
2011-05-10,41.20229166666667
2011-05-11,37.280208333333334
2011-05-12,41.27458333333333
2011-05-13,44.490624999999994
2011-05-14,31.75604166666667
2011-05-15,15.209583333333333
2011-05-16,32.66354166666667
2011-05-17,41.426458333333336
2011-05-18,44.36875
2011-05-19,36.408541666666665
2011-05-20,44.295
2011-05-21,54.29208333333332
2011-05-22,30.781666666666666
2011-05-23,33.573541666666664
2011-05-24,27.717916666666667
2011-05-25,46.991249999999994
2011-05-26,34.17346014492754
2011-05-27,29.490833333333335
2011-05-28,28.122708333333335
2011-05-29,18.27520833333333
2011-05-30,40.76708333333333
2011-05-31,28.015416666666667
2011-06-01,31.255000000000003
2011-06-02,15.433333333333334
2011-06-03,13.502291666666666
2011-06-04,12.535208333333333
2011-06-05,11.565625
2011-06-06,34.913269927536234
2011-06-07,39.689166666666665
2011-06-08,33.63458333333333
2011-06-09,36.44979166666666
2011-06-10,55.981458333333336
2011-06-11,34.315625
2011-06-12,31.474375000000002
2011-06-13,20.03395833333333
2011-06-14,32.14604166666667
2011-06-15,51.743333333333325
2011-06-16,48.629583333333336
2011-06-17,39.7575
2011-06-18,18.186875
2011-06-19,18.20916666666667
2011-06-20,37.119791666666664
2011-06-21,29.051458333333336
2011-06-22,37.290416666666665
2011-06-23,29.565289855072464
2011-06-24,35.237500000000004
2011-06-25,32.795833333333334
2011-06-26,26.79291666666667
2011-06-27,48.2775
2011-06-28,53.50703947368421
2011-06-29,29.03815476190476
2011-06-30,29.870625
2011-07-01,28.035654761904762
2011-07-02,25.24
2011-07-03,11.524166666666666
2011-07-04,11.793541666666666
2011-07-05,29.95104166666667
2011-07-06,33.60136363636364
2011-07-07,44.080000000000005
2011-07-08,35.04458333333333
2011-07-09,26.209999999999997
2011-07-10,25.4725
